Cycle_Length,N,Genus,Species,Location,Citation,Figure_Table,Notes
8,20,Sabethes,chloropterus,"Belem, Para Sate, Brazil",Degallier et al. 1998,Text,"Text gives ranges, just recorded the center of the range here"
8.5,9,Sabethes,cyanues,"Belem, Para Sate, Brazil",Degallier et al. 1998,Text,See first line
9,2,Sabethes,belisarioi,"Belem, Para Sate, Brazil",Degallier et al. 1998,Text,See first line
8.75,8,Haemagogus,janthinomys,"Belem, Para Sate, Brazil",Degallier et al. 1998,Text,See first line
6.8,24,Haemagogus,janthinomys,"Belem, Para Sate, Brazil",Degallier et al. 1998,Text,See first line
